timestamp_1;timestamp_2;score
1412242529.568049;1412242629.472942;53.652
1412242529.668089;1412242629.572706;55.2159
1412242529.768037;1412242629.672330;58.1106
1412242529.867800;1412242629.771771;55.5309
1412242529.967517;1412242629.871119;61.8668
1412242530.067234;1412242629.970422;68.6628
1412242530.167090;1412242630.069770;82.0818
1412242530.266853;1412242630.169303;92.5408
1412242530.366662;1412242630.269020;77.0643
1412242530.466425;1412242630.368876;77.7473
1412242530.566188;1412242630.468915;79.3796
1412242530.665998;1412242630.569047;101.384
1412242530.765899;1412242630.669363;83.4593
1412242530.865892;1412242630.769632;65.2966
1412242530.965932;1412242630.869949;60.6277
1412242531.065971;1412242630.970265;55.3548
1412242531.165919;1412242631.070535;49.4683
1412242531.265913;1412242631.170667;50.176
1412242531.365768;1412242631.270568;45.6415
1412242531.465623;1412242631.370378;45.774
1412242531.565571;1412242631.470186;41.8836
1412242531.665611;1412242631.570134;41.8893
1412242531.765651;1412242631.670174;35.9076
1412242531.865782;1412242631.770351;31.7313
1412242531.965914;1412242631.870529;31.8718
1412242532.066000;1412242631.970754;32.1126
1412242532.165854;1412242632.070932;37.9873
1412242532.265618;1412242632.171109;30.6957
1412242532.365197;1412242632.271149;29.7348
1412242532.464730;1412242632.370958;29.6435
1412242532.564354;1412242632.470767;30.4469
1412242532.664071;1412242632.570484;31.443
1412242532.763881;1412242632.670063;30.3646
1412242532.863829;1412242632.769734;32.485
1412242532.963637;1412242632.869543;30.6513
1412242533.063493;1412242632.969399;44.6663
1412242533.163394;1412242633.069254;40.3023
1412242533.263433;1412242633.169202;46.8553
1412242533.363473;1412242633.269149;46.3882
1412242533.463605;1412242633.369189;42.2535
1412242533.563783;1412242633.469090;50.9064
1412242533.664007;1412242633.568945;54.4957
1412242533.764139;1412242633.668846;60.6117
1412242533.864087;1412242633.768840;53.1991
1412242533.963712;1412242633.868742;95.749
1412242534.063059;1412242633.968643;102.232
1412242534.162362;1412242634.068683;121.3
1412242534.261665;1412242634.168722;95.3766
1412242534.360967;1412242634.268854;104.195
1412242534.460453;1412242634.368940;69.4573
1412242534.560124;1412242634.469026;61.7279
1412242534.660026;1412242634.569111;67.8801
1412242534.760066;1412242634.669197;67.0336
1412242534.860197;1412242634.769283;50.8364
1412242534.960421;1412242634.869415;56.8102
1412242535.060645;1412242634.969454;63.9526
1412242535.160869;1412242635.069540;57.8046
1412242535.260909;1412242635.169672;56.2149
1412242535.360810;1412242635.269849;57.438
1412242535.460620;1412242635.369889;50.8261
1412242535.560336;1412242635.469560;46.8159
1412242535.659915;1412242635.569093;49.4434
1412242535.759633;1412242635.668625;50.9277
1412242535.859442;1412242635.768250;50.1021
1412242535.959389;1412242635.868014;50.4522
1412242536.059429;1412242635.967869;43.8428
1412242536.159561;1412242636.067816;50.8913
1412242536.259508;1412242636.167810;47.842
1412242536.359409;1412242636.267804;40.8987
1412242536.459403;1412242636.367704;46.2428
1412242536.559443;1412242636.467422;51.5
1412242536.659528;1412242636.567139;45.6121
1412242536.759660;1412242636.666994;44.8157
1412242536.859838;1412242636.766757;44.2744
1412242536.960062;1412242636.866566;44.8074
1412242537.060332;1412242636.966468;51.6094
1412242537.160418;1412242637.066461;53.6554
1412242537.260504;1412242637.166455;55.8559
1412242537.360497;1412242637.266402;48.6132
1412242537.460306;1412242637.366350;51.1615
1412242537.560023;1412242637.466343;48.3982
1412242537.659603;1412242637.566383;49.0487
1412242537.759088;1412242637.666515;49.0798
1412242537.858621;1412242637.766646;54.5596
1412242537.958339;1412242637.866732;53.3253
1412242538.058148;1412242637.966818;44.8983
1412242538.158095;1412242638.066858;44.231
